,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
44300,74,49,0.44594594594594594,0.21621621621621623,0.5945945945945946,-0.08108108108108109,1,0,0,0,0,0,0.66
21183,18,4,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.4444444444444444,0,1,0,0,0,0,0.22
22021,7,3,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.7142857142857143,0,1,0,0,0,0,0.43
22954,6,0,0.0,0.0,0.3333333333333333,-0.8333333333333334,0,1,0,0,0,0,0.0
28571,79,9,0.02531645569620253,0.08860759493670886,0.5063291139240507,-0.012658227848101266,0,1,0,0,0,0,0.11
29492,79,9,0.02531645569620253,0.08860759493670886,0.5063291139240507,-0.012658227848101266,0,1,0,0,0,0,0.11
30466,75,8,0.0,0.10666666666666667,0.7466666666666667,-0.06666666666666667,0,1,0,0,0,0,0.11
6848,67,7,0.014925373134328358,0.08955223880597014,0.746268656716418,0.29850746268656714,0,1,0,0,0,0,0.1
7173,68,3,0.0,0.04411764705882353,1.25,0.10294117647058823,0,1,0,0,0,0,0.04
7529,22,2,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0,1,0,0,0,0,0.09
10852,9,3,0.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0,1,0,0,0,0,0.33
11269,63,14,0.047619047619047616,0.1746031746031746,1.1428571428571428,-0.4126984126984127,0,1,0,0,0,0,0.22
11985,29,3,0.034482758620689655,0.06896551724137931,0.7241379310344828,-0.6551724137931034,0,1,0,0,0,0,0.1
18857,31,11,0.06451612903225806,0.2903225806451613,2.3870967741935485,0.03225806451612903,1,0,0,0,0,0,0.36
19710,21,5,0.14285714285714285,0.09523809523809523,0.8095238095238095,-0.047619047619047616,1,0,0,0,0,0,0.24
20411,62,7,0.06451612903225806,0.04838709677419355,1.0483870967741935,-0.1935483870967742,1,0,0,0,0,0,0.11
4383,69,21,0.08695652173913043,0.21739130434782608,0.6376811594202898,0.0,0,1,0,0,0,0,0.3
4583,2,1,0.0,0.5,5.0,0.0,0,1,0,0,0,0,0.5
4686,37,15,0.08108108108108109,0.32432432432432434,0.5945945945945946,0.0,0,1,0,0,0,0,0.41
7365,69,30,0.028985507246376812,0.4057971014492754,1.0289855072463767,-0.3333333333333333,0,1,0,0,0,0,0.44
