playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
Phil Di Giuseppe,201,53,0.25166666666666665,0.07074583876736289,0.17910681057106817,0.34255300074396394,-0.05730286738351254,0.0,0.0,0.0,1.0,0.0,0
Phil Esposito,1282,1590,1.1783333333333332,0.5293239813100351,0.647356000198998,0.6792202777555783,0.13564460684652918,1.0,0.0,0.0,0.0,0.0,0
Phil Goyette,941,674,0.691875,0.21357306796410025,0.4784418786184939,0.1315872571843501,-0.00449212981894182,1.0,0.0,0.0,0.0,0.0,0
Phil Hergesheimer,125,62,0.49,0.15186202686202688,0.3379120879120879,0.21720467032967034,0.0,0.0,0.0,0.0,0.0,1.0,0
Phil Hoene,37,6,0.1366666666666667,0.02150537634408602,0.11559139784946237,0.23655913978494625,0.02956989247311828,0.0,0.0,0.0,1.0,0.0,0
Phil Housley,1495,1232,0.8219047619047617,0.22454766012150149,0.5972083594042803,0.5437906290707355,-0.030923398014233917,0.0,1.0,0.0,0.0,0.0,0
Phil Kessel,1197,949,0.793125,0.3336171602787456,0.4599785859465737,0.30795695412311264,-0.12449967334494774,0.0,0.0,0.0,0.0,1.0,0
Phil Latreille,4,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0
Phil Maloney,158,71,0.36,0.17331691297208537,0.18471264367816093,0.10950738916256157,0.0,1.0,0.0,0.0,0.0,0.0,0
Phil Oreskovic,10,2,0.2,0.1,0.1,2.1,-0.2,0.0,1.0,0.0,0.0,0.0,0
Phil Roberto,385,181,0.405,0.16614551115298787,0.23850074839002636,1.1252203611574643,-0.10679351529165912,0.0,0.0,0.0,0.0,1.0,0
Phil Russell,1016,424,0.4066666666666668,0.09125203252311002,0.31552303639864987,1.9955482965319085,0.03049057312403814,0.0,1.0,0.0,0.0,0.0,0
Phil Samis,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Phil Stevens,21,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Phil Sykes,456,164,0.29500000000000004,0.1528361978082567,0.14140805232491485,1.0169778129454063,-0.11194578704124813,0.0,0.0,0.0,1.0,0.0,0
Phil Varone,97,17,0.21000000000000002,0.08975008443093549,0.12019587977034785,0.31816953731847347,-0.19422492401215802,1.0,0.0,0.0,0.0,0.0,0
Phil Von Stefenelli,33,5,0.16,0.0,0.15740740740740738,0.8796296296296297,-0.21296296296296297,0.0,1.0,0.0,0.0,0.0,0
Phil Watson,591,410,0.6746153846153846,0.2364291061859451,0.4392400448251512,0.9581941741136268,0.0,1.0,0.0,0.0,0.0,0.0,0
Philip Broberg,22,2,0.09,0.0,0.09090909090909091,0.36363636363636365,-0.4090909090909091,0.0,1.0,0.0,0.0,0.0,0
Philip Holm,1,0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0
